,category,subcategory,type,size class,occupancy (percent),capacity,range,fuel type,country,region,note,co2e unit,co2e emission factor,source,source link,example image path
25,Train,,High Speed Train,,,,,,France,continental France,published 2021,kg/passenger.km,2.53E-03,InfoGES SNCF,https://data.ademe.fr/datasets/base-carbone%28r%29,
26,Train,,High Speed Train,,,,,,France,continental France,published 2021,kg/passenger.km,2.36E-03,InfoGES SNCF,https://data.ademe.fr/datasets/base-carbone%28r%29,
27,Train,,Train (passengers),,,,,,France,Corse,published 2020,kg/passenger.km,0.187,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,
28,Train,,Train (passengers),,,,,,Belgium,,published 2020,kg/passenger.km,0.0484,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,
29,Train,,Train (passengers),,,,,,Spain,,published 2020,kg/passenger.km,0.0514,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,
30,Train,,Train (passengers),,,,,,Italy,,published 2020,kg/passenger.km,0.0317,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,
31,Train,,Train (passengers),,,,,,Portugal,,published 2020,kg/passenger.km,0.0615,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,
32,Boat,,River shuttle,,,,,,France,continental France,published 2020,kg/passenger.km,0.0643,Historique Bilan Carbone,https://data.ademe.fr/datasets/base-carbone%28r%29,
33,Boat,,Inter-island shuttle,,,,,,France,Mayotte-Anjouan,published 2020,kg/passenger.km,0.384,Analyse ADEME,https://data.ademe.fr/datasets/base-carbone%28r%29,
34,Boat,,Inter-island shuttle,,,,,,France,Petite Terre-Grande Terre,published 2020,kg/passenger.km,0.31,Analyse ADEME,https://data.ademe.fr/datasets/base-carbone%28r%29,
35,Boat,,Inter-island shuttle,,,,,,France,Polynesia,published 2020,kg/passenger.km,0.229,Analyse ADEME,https://data.ademe.fr/datasets/base-carbone%28r%29,
36,Bus,,City bus,,,,,Electric,France,continental France,published 2020,kg/passenger.km,0.0217,"Etude E4T, ADEME - IFPEN",https://data.ademe.fr/datasets/base-carbone%28r%29,
37,Bus,,City bus,,,,,NGV (natural gas vehicle),France,continental France,published 2021,kg/passenger.km,0.122,HBEFA,https://data.ademe.fr/datasets/base-carbone%28r%29,
38,Bus,,City bus - average,,,,,,France,"Urban area, 100 000 to 250 000 inhabitants",published 2021,kg/passenger.km,0.147,UTP - Enquête TCU 2017,https://data.ademe.fr/datasets/base-carbone%28r%29,
39,Bus,,City bus - average,,,,,,France,"Urban area, > 250 000 inhabitants",published 2021,kg/passenger.km,0.151,UTP - Enquête TCU 2017,https://data.ademe.fr/datasets/base-carbone%28r%29,
40,Bus,,City bus - average,,,,,,France,"Urban area, < 100 000 inhabitants",published 2021,kg/passenger.km,0.202,UTP - Enquête TCU 2017,https://data.ademe.fr/datasets/base-carbone%28r%29,
41,Bus,,City bus,,,,,Diesel,France,,published 2021,kg/passenger.km,0.0295,HBEFA,https://data.ademe.fr/datasets/base-carbone%28r%29,
